観測日時,宮津,宮津 (2),舞鶴,舞鶴 (2),園部,園部 (2),京都,京都 (2),京田辺,京田辺 (2),間人,間人 (2),美山,美山 (2),福知山,福知山 (2),香住,香住.1,豊岡,豊岡.1,和田山,和田山.1,生野,生野.1,一宮,一宮.1,柏原,柏原.1,西脇,西脇.1,福崎,福崎.1,家島,家島.1,三田,三田.1,洲本,洲本.1,兎和野高原,兎和野高原.1,南淡,南淡.1,郡家,郡家.1
2018年3月4日7時,2.1,13,4.3,11,0,0,0.8,16,1,6,3.4,6,0,0,0.5,16,1.8,8,1.2,2,0.3,4,4.3,9,0.1,0,1.3,7,0.2,0,0.2,0,0.8,1,0,0,1.4,11,1.5,10,1,4,1.2,7
2018年3月4日8時,1.9,12,3.5,12,0.8,12,0.6,10,2.5,5,3.7,6,0.8,4,0.6,7,1.9,6,0.7,1,1.2,4,4,8,0.9,7,0.7,6,0.4,7,0.1,0,0.4,8,0.6,15,1.5,13,2.5,8,1.3,8,0.3,12
2018年3月4日9時,3.3,12,2.6,11,0.1,0,0.4,6,2.2,5,2.4,6,1.3,3,0.4,3,1,7,2.9,8,6.4,9,4,9,1.1,8,0.7,10,0.3,8,0.2,0,2.1,13,0.4,14,0.5,2,3.1,8,0.6,4,1.7,14
2018年3月4日10時,2,9,4.2,11,1.2,4,0.7,3,1.4,16,2.5,7,1.7,9,1.8,7,1.8,10,4.1,8,3.8,8,2.3,8,2.9,7,1.8,7,0.3,9,0,0,1.2,14,0.2,0,2.3,1,3.4,7,1.4,10,2.5,14
2018年3月4日11時,4.6,8,4.2,11,3,4,1.8,3,1.3,16,1.9,7,2,10,3.9,7,1.5,10,5.4,8,6,9,3.5,8,3.3,8,0.8,11,0.5,10,0.2,0,2.3,7,0.4,5,5.2,9,2.6,7,1.7,11,1.4,13
2018年3月4日12時,4.2,8,3.4,11,2.4,3,1.7,6,1.3,16,1.7,7,2.4,10,2.5,9,4.5,1,3.7,6,5.9,9,2.8,9,4.5,7,2.2,9,1,8,1.8,9,3.6,7,0.1,0,3.3,8,2,5,2.4,9,3.1,14
2018年3月4日13時,2.5,8,3.2,11,1.2,11,2.8,9,1.1,14,2.2,14,2.2,10,3.2,10,3.2,16,3.4,6,6.1,9,2.7,9,3.7,7,2.3,7,0.9,10,2.6,9,2.1,7,3.5,8,4.6,8,2.9,7,4.4,7,2.2,14
2018年3月4日14時,4.5,7,4.9,11,1.3,13,1.3,11,2.4,13,3.7,3,2.2,10,2.4,8,2.7,16,3,6,5.8,10,2.9,8,3.5,8,1.7,7,0.5,12,1.5,9,2.4,9,3.2,10,4.9,9,1.3,1,5.6,7,2.4,13
2018年3月4日15時,5.3,8,3.1,11,0.6,2,1.1,9,1.9,14,2.3,2,1.5,11,3.3,8,4,16,2.4,7,4,10,3.3,8,3,8,3,11,0.5,15,1.1,9,1.6,9,3.2,10,6.3,8,0.9,8,5.2,7,2.4,14
2018年3月4日16時,4.6,9,5,11,2.2,10,2.5,8,3,11,1.7,3,2.1,11,1.8,7,1.7,15,2.7,7,4.8,10,2.5,9,1.8,8,2.5,8,1.2,8,1.7,9,2,6,4.6,10,6.3,8,1.3,6,5,7,2.6,14
2018年3月4日17時,1.8,10,3.5,12,0.8,10,2.1,10,3.3,12,1.2,4,2.1,10,1.8,8,2.5,15,1.9,15,3.2,9,1.4,10,1,7,2,9,0.3,3,1.4,9,1.2,4,2.2,9,4.7,8,1.6,9,4.9,7,0.9,14
2018年3月4日18時,1.6,10,1.9,11,1.7,11,2.2,7,1.4,12,0.6,6,0.3,11,0.8,10,0.7,8,1.4,12,3.3,8,0.7,9,0.1,0,0,0,0.1,0,0.5,16,1.4,3,1.2,11,2.2,10,1.8,10,5.7,7,0.1,0
2018年3月4日19時,0.7,1,0.7,13,0.3,14,1,5,2.2,7,3.5,6,1,2,0.3,7,0.4,2,1.4,15,1.5,7,1.1,9,0.4,14,2.3,6,0.3,13,0.8,16,2.3,6,2,5,5.2,7,2.2,10,4.3,7,1.7,7
2018年3月4日20時,1.8,12,1,15,2.6,12,1.4,3,0.4,8,1.8,9,0.7,3,1.3,12,1.8,6,0.8,3,0.5,5,1.5,7,0.2,0,1.2,7,0.1,0,0.6,15,3.8,5,0.6,6,4.6,7,1.8,9,4.9,6,1.5,7
